periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cycle Beads,DMPA-IM,DMPA-SC,Hormonal IUCD,Non-Hormonal IUCD,Implanon,Male Condoms,Female Condoms,EC Pills,COCs,POPs,Type
202002,Feb-20,202002,,JsH2bnvNt2d,Tana River County,KE_County_4,,2.0,586.0,,,13.0,171.0,9500.0,,1.0,400.0,39.0,Consumption
202002,Feb-20,202002,,XWALbfAPa6n,West Pokot County,KE_County_24,,,1179.0,,,8.0,30.0,1261.0,5.0,,553.0,27.0,Consumption
202002,Feb-20,202002,,CeLsrJOH0g9,Wajir County,KE_County_8,,1.0,336.0,,,1.0,18.0,3165.0,,,253.0,37.0,Consumption
202002,Feb-20,202002,,sANMZ3lpqGs,Vihiga County,KE_County_38,,,1388.0,,,98.0,95.3,23417.5,,7.0,306.0,96.0,Consumption
202002,Feb-20,202002,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,47.0,6933.0,,,318.0,396.0,77089.0,1528.0,1341.0,3690.0,699.0,Consumption
202002,Feb-20,202002,,kphDeKClFch,Turkana County,KE_County_23,,7.0,1334.0,,,726.0,292.0,17068.0,640.0,150.0,444.0,54.0,Consumption
202002,Feb-20,202002,,mThvosEflAU,Trans Nzoia County,KE_County_26,,,28161.0,,,65.0,137.0,67985.0,198.0,26.0,3742.0,378.0,Consumption
202002,Feb-20,202002,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,,2963.0,,,105.0,51.0,29015.0,1050.0,37.0,1568.0,150.0,Consumption
202002,Feb-20,202002,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,1.0,1905.0,,,370.0,26.0,4757.0,1584.0,9.0,890.0,57.0,Consumption
202002,Feb-20,202002,,u4t9H8XyU9P,Siaya County,KE_County_41,,1.0,4299.0,,,789.0,665.0,90260.0,775.0,70.0,1985.0,54.0,Consumption
202002,Feb-20,202002,,o36zCRjSd4G,Samburu County,KE_County_25,,1.0,916.0,,,12.0,108.0,2429.0,16.0,5.0,299.0,162.0,Consumption
202002,Feb-20,202002,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,3779.0,,,200.0,303.0,31564.0,167.0,110.0,5120.0,1073.0,Consumption
202002,Feb-20,202002,,mYZacFNIB3h,Nyandarua County,KE_County_18,,6.0,3114.0,,,3427.0,301.0,12875.0,115.0,22.0,2465.0,664.0,Consumption
202002,Feb-20,202002,,uepLTG8wGWJ,Nyamira County,KE_County_46,,2.0,4643.0,,,137.0,1238.0,89914.0,418.0,79.0,1756.0,205.0,Consumption
202002,Feb-20,202002,,kqJ83J2D72s,Narok County,KE_County_33,,,4243.0,,,35.0,589.0,39178.0,4.0,240.0,473.0,118.0,Consumption
202002,Feb-20,202002,,t0J75eHKxz5,Nandi County,KE_County_29,,,5269.0,,,36.0,399.0,154231.0,1308.0,278.0,1456.0,107.0,Consumption
